page_id,doi,covid_preprint,section,label
1,10.1101/19005710,False,context,nounchange
1,10.1101/19005710,False,conclusions,stat
1,10.1101/19005710,False,conclusions,nounchange
1,10.1101/19005710,False,context,effect
1,10.1101/19005710,False,conclusions,effect
2,10.1101/19006031,False,results,stat
2,10.1101/19006031,False,conclusions,effect
2,10.1101/19006031,False,results,removed
2,10.1101/19006031,False,context,added
2,10.1101/19006031,False,conclusions,stat
2,10.1101/19006031,False,conclusions,added
2,10.1101/19006031,False,results,added
2,10.1101/19006031,False,results,nounchange
3,10.1101/19006171,False,results,removed
3,10.1101/19006171,False,context,added
3,10.1101/19006171,False,context,removed
3,10.1101/19006171,False,context,nounchange
3,10.1101/19006171,False,conclusions,stat
3,10.1101/19006171,False,results,stat
4,10.1101/19006478,False,results,removed
4,10.1101/19006478,False,conclusions,added
4,10.1101/19006478,False,results,added
4,10.1101/19006478,False,context,added
4,10.1101/19006478,False,results,stat
7,10.1101/19006635,False,results,stat
7,10.1101/19006635,False,context,removed
7,10.1101/19006635,False,results,effect
7,10.1101/19006635,False,context,nounchange
7,10.1101/19006635,False,context,stat
7,10.1101/19006635,False,results,added
8,10.1101/19006650,False,conclusions,effect
8,10.1101/19006650,False,results,effect
8,10.1101/19006650,False,conclusions,stat
9,10.1101/19006833,False,conclusions,added
9,10.1101/19006833,False,context,nounchange
9,10.1101/19006833,False,results,added
10,10.1101/19006957,False,results,added
10,10.1101/19006957,False,conclusions,removed
10,10.1101/19006957,False,results,removed
10,10.1101/19006957,False,context,nounchange
10,10.1101/19006957,False,results,effect
10,10.1101/19006957,False,conclusions,stat
10,10.1101/19006957,False,conclusions,nounchange
11,10.1101/19007013,False,context,removed
11,10.1101/19007013,False,conclusions,removed
11,10.1101/19007013,False,context,stat
11,10.1101/19007013,False,results,added
11,10.1101/19007013,False,results,stat
11,10.1101/19007013,False,conclusions,added
11,10.1101/19007013,False,conclusions,stat
11,10.1101/19007013,False,conclusions,effect
12,10.1101/19007021,False,conclusions,added
12,10.1101/19007021,False,context,removed
12,10.1101/19007021,False,context,nounchange
12,10.1101/19007021,False,context,stat
12,10.1101/19007021,False,results,stat
13,10.1101/19007161,False,results,added
13,10.1101/19007161,False,context,removed
13,10.1101/19007161,False,results,removed
13,10.1101/19007161,False,context,added
13,10.1101/19007161,False,context,nounchange
13,10.1101/19007161,False,results,stat
13,10.1101/19007161,False,conclusions,added
14,10.1101/19007401,False,context,stat
14,10.1101/19007401,False,context,effect
14,10.1101/19007401,False,context,nounchange
14,10.1101/19007401,False,results,nounchange
15,10.1101/19007450,False,results,stat
16,10.1101/19007542,False,results,added
16,10.1101/19007542,False,context,removed
16,10.1101/19007542,False,results,stat
16,10.1101/19007542,False,context,nounchange
16,10.1101/19007542,False,context,added
16,10.1101/19007542,False,results,nounchange
16,10.1101/19007542,False,results,effectreverse
17,10.1101/19007666,False,results,stat
17,10.1101/19007666,False,context,stat
17,10.1101/19007666,False,context,added
19,10.1101/19007849,False,context,added
19,10.1101/19007849,False,context,removed
19,10.1101/19007849,False,context,nounchange
19,10.1101/19007849,False,conclusions,added
20,10.1101/19008102,False,conclusions,added
20,10.1101/19008102,False,conclusions,stat
24,10.1101/19008300,False,conclusions,removed
24,10.1101/19008300,False,results,stat
24,10.1101/19008300,False,conclusions,added
24,10.1101/19008300,False,conclusions,effect
24,10.1101/19008300,False,context,added
24,10.1101/19008300,False,results,nounchange
24,10.1101/19008300,False,results,removed
24,10.1101/19008300,False,context,removed
24,10.1101/19008300,False,conclusions,nounchange
24,10.1101/19008300,False,results,effect
24,10.1101/19008300,False,results,added
26,10.1101/19008367,False,results,stat
26,10.1101/19008367,False,results,effect
26,10.1101/19008367,False,conclusions,added
26,10.1101/19008367,False,context,effect
28,10.1101/19008953,False,context,added
28,10.1101/19008953,False,context,removed
