doi	posted_date	covid_preprint
10.1101/2020.02.03.932350	2/4/2020	TRUE
10.1101/2020.02.04.933135	2/8/2020	TRUE
10.1101/2020.02.07.937862	2/11/2020	TRUE
10.1101/2020.02.07.939389	2/11/2020	TRUE
10.1101/2020.02.08.20021253	2/11/2020	TRUE
10.1101/2020.02.15.20023234	2/19/2020	TRUE
10.1101/2020.02.15.950568	2/20/2020	TRUE
10.1101/2020.02.17.945014	2/19/2020	TRUE
10.1101/2020.02.18.20024364	2/20/2020	TRUE
10.1101/2020.02.20.20025874	2/24/2020	TRUE
10.1101/2020.02.20.957472	2/21/2020	TRUE
10.1101/2020.02.23.20026690	2/26/2020	TRUE
10.1101/2020.02.23.20026864	2/25/2020	TRUE
10.1101/2020.02.25.20027672	2/27/2020	TRUE
10.1101/2020.02.25.963546	2/27/2020	TRUE
10.1101/2020.02.26.20028217	2/27/2020	TRUE
10.1101/2020.02.29.20029439	3/6/2020	TRUE
10.1101/2020.03.02.20028704	3/5/2020	TRUE
10.1101/2020.03.02.20030288	3/6/2020	TRUE
10.1101/2020.03.02.20030312	3/6/2020	TRUE
10.1101/2020.03.02.973255	3/3/2020	TRUE
10.1101/2020.03.03.20030445	3/6/2020	TRUE
10.1101/2020.03.03.20030593	3/6/2020	TRUE
10.1101/2020.03.04.20026005	3/6/2020	TRUE
10.1101/2020.03.04.976027	3/7/2020	TRUE
10.1101/2020.03.05.20031476	3/7/2020	TRUE
10.1101/2020.03.05.20032003	3/8/2020	TRUE
10.1101/2020.03.06.20031278	3/8/2020	TRUE
10.1101/2020.03.06.20031856	3/8/2020	TRUE
10.1101/2020.03.09.20033183	3/10/2020	TRUE
10.1101/2020.03.09.20033514	3/13/2020	TRUE
10.1101/2020.03.10.20033761	3/13/2020	TRUE
10.1101/2020.03.10.986398	3/12/2020	TRUE
10.1101/2020.03.11.987958	3/12/2020	TRUE
10.1101/2020.03.12.988865	3/14/2020	TRUE
10.1101/2020.03.13.991455	3/14/2020	TRUE
10.1101/2020.03.15.20036418	3/18/2020	TRUE
10.1101/2020.03.15.993097	3/17/2020	TRUE
10.1101/2020.03.17.20037713	3/18/2020	TRUE
10.1101/2020.03.18.20038448	3/20/2020	TRUE
10.1101/2020.03.19.20032532	3/23/2020	TRUE
10.1101/2020.03.20.000885	3/22/2020	TRUE
10.1101/2020.03.20.999029	3/21/2020	TRUE
10.1101/2020.03.20.999730	3/20/2020	TRUE
10.1101/2020.03.21.20040139	3/24/2020	TRUE
10.1101/2020.03.21.20040360	3/23/2020	TRUE
10.1101/2020.03.22.002386	3/22/2020	TRUE
10.1101/2020.03.22.20040915	3/24/2020	TRUE
10.1101/2020.03.22.20040923	3/27/2020	TRUE
10.1101/2020.03.23.20039362	3/27/2020	TRUE
10.1101/2020.03.23.20039842	3/27/2020	TRUE
10.1101/2020.03.23.20041533	3/27/2020	TRUE
10.1101/2020.03.24.004655	3/24/2020	TRUE
10.1101/2020.03.24.005702	3/29/2020	TRUE
10.1101/2020.03.24.20042317	3/26/2020	TRUE
10.1101/2020.03.25.20043745	3/27/2020	TRUE
10.1101/2020.03.26.009233	3/28/2020	TRUE
10.1101/2020.03.26.010165	3/28/2020	TRUE
10.1101/2020.03.26.20039438	3/27/2020	TRUE
10.1101/2020.03.26.20040709	3/27/2020	TRUE
10.1101/2020.03.27.012013	3/28/2020	TRUE
10.1101/2020.03.27.20045807	3/30/2020	TRUE
10.1101/2020.03.28.013672	3/31/2020	TRUE
10.1101/2020.03.28.20046243	4/1/2020	TRUE
10.1101/2020.03.28.20046250	3/31/2020	TRUE
10.1101/2020.03.29.20039529	3/30/2020	TRUE
10.1101/2020.03.29.20046565	3/31/2020	TRUE
10.1101/2020.03.30.015347	3/31/2020	TRUE
10.1101/2020.03.31.20049023	4/3/2020	TRUE
10.1101/2020.04.01.020966	4/3/2020	TRUE
10.1101/2020.04.01.20047076	4/4/2020	TRUE
10.1101/2020.04.01.20047381	4/4/2020	TRUE
10.1101/2020.04.01.20050443	4/7/2020	TRUE
10.1101/2020.04.02.20050740	4/7/2020	TRUE
10.1101/2020.04.02.20051334	4/6/2020	TRUE
10.1101/2020.04.03.20049080	4/6/2020	TRUE
10.1101/2020.04.03.20051649	4/7/2020	TRUE
10.1101/2020.04.03.20052548	4/8/2020	TRUE
10.1101/2020.04.05.026377	4/10/2020	TRUE
