X1.x,doi,abstract,published_abstract_source,published_abstract_source_notes,change_outcomes,difflib standard change_ratio,exclude,Word_raw_char_change,Word_change_ratio,1_annotations,1+_annotations,1-_annotations,significant_annotations,Highest_change,X1.y,source,posted_date,covid_preprint,title,n_versions,n_words,n_refs,n_figs,n_tables,license,type,category,authors,n_authors,author_corresponding,author_corresponding_institution,institution_match_score,institution_match_type,institution_match_name,institution_match_country_name,institution_match_country_code,published_doi.x,published_title,published_date,published_journal,published_publisher,delay_in_days,published_article_is_oa,published_article_oa_status,published_journal_is_oa
1,10.1101/19005710,"Existing methods to infer the relative roles of age groups in epidemic transmission can normally only accommodate a few age classes, and/or require data that are highly specific for the disease being studied. Here, symbolic transfer entropy (STE), a measure developed to identify asymmetric transfer of information between stochastic processes, is presented as a way to determine which age groups drive an epidemic. STE provides a ranking of which age groups dominate transmission, rather than a reconstruction of the explicit between-age-group transmission matrix. Using simulations, we establish that STE can identify which age groups dominate transmission, even when there are differences in reporting rates between age groups and even if the data is noisy. Then, the pairwise STE is calculated between time series of influenza-like illness for 12 age groups in 884 US cities during the autumn of 2009. Elevated STE from 5-19 year-olds indicates that school-aged children were the most important transmitters of infection during the autumn wave of the 2009 pandemic in the US. The results may be partially confounded by higher rates of physician-seeking behaviour in children compared to adults, but it is unlikely that differences in reporting rates can explain the observed differences in STE.",Copied,NA,1,0.043181818,keep,110,0.047727273,0,0,3,0,1,29508,medrxiv,19/09/2019,FALSE,Symbolic transfer entropy reveals the age structure of pandemic influenza transmission from high-volume influenza-like illness data,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,epidemiology,"Kissler, S. M.; Viboud, C.; Grenfell, B.; Gog, J.",4,Stephen M Kissler,University of Cambridge,1,PHRASE,University of Cambridge,United Kingdom,GB,10.1098/rsif.2019.0628,Symbolic transfer entropy reveals the age structure of pandemic influenza transmission from high-volume influenza-like illness data,18/03/2020,Journal of The Royal Society Interface,The Royal Society,181,TRUE,bronze,FALSE
2,10.1101/19006031,"Background. The degree of cognitive impairment associated with lifetime Major Depressive Disorder (MDD) remains uncertain. Previous UK Biobank studies have only shown limited evidence for population-level cognitive differences associated with probable MDD. Here, we used an updated range of cognitive tasks and clinical assessment criteria in UK Biobank to investigate whether there are differences in cognitive function associated with lifetime MDD. Methods. Associations between lifetime MDD and cognition (performance on six tasks and a general (g) factor) were investigated in UK Biobank (N range 7,457-14,836, age 45-81 years, 52% female), adjusting for demographic, education and lifestyle. Classification of lifetime MDD was based on the Composite International Diagnostic Interview (CIDI-SF). Within the lifetime MDD group, we additionally explored relationships between cognition and (i) recurrent MDD, (ii) current MDD symptoms, (iii) severity of psychosocial impairment (while symptomatic), and (iv) concurrent psychotropic medication use Results. Lifetime MDD was robustly associated with a lower g-factor (? = -0.10, q = 4.7?10-5), with significant impairments in attention, processing speed and executive functioning (? ? 0.06). Analysis within the lifetime MDD group indicated that case individuals with severe psychosocial impairment had significantly lower g-factor (? = -0.14, P = 1.5?10-2), with greatest impairments in reasoning (? = -0.18, q = 7.5?10-5). Other clinical characteristics showed differential profiles of cognitive impairment across cognitive domains. Conclusions. These findings reveal a modest negative association between lifetime MDD and cognitive performance. Specific cognitive domains showed greater deficits in relation to MDD characteristics, with greatest effects relating to psychosocial impairment.",Copied,NA,0,0.645582854,keep,1510,0.400418191,0,5,7,0,1,29458,medrxiv,09/09/2019,FALSE,Cognitive functioning and lifetime Major Depressive Disorder in UK Biobank,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,psychiatry and clinical psychology,"de Nooij, L.; Harris, M. A.; Adams, M. J.; Clarke, T.-K.; Shen, X.; Cox, S. R.; McIntosh, A. M.; Whalley, H. C.",8,Laura de Nooij,University of Edinburgh,1,PHRASE,University of Edinburgh,United Kingdom,GB,10.1192/j.eurpsy.2020.24,Cognitive functioning and lifetime major depressive disorder in UK Biobank,21/02/2020,European Psychiatry,Royal College of Psychiatrists,165,TRUE,gold,TRUE
3,10.1101/19006171,"Age-related macular degeneration (AMD) is a leading cause of irreversible blindness worldwide. Previous genetic and epidemiological studies have shown that the AMD progression are affected by genetic variants and environmental factors. AMD severity is mainly diagnosed by color fundus images and recent studies have shown the success of machine learning methods in predicting AMD progression using image data. However, none of the studies have utilized both genetics and image data for predicting AMD progression. The Age-Related Eye Disease Study (AREDS), a large-scale clinical trial from the National Eye Institute, includes massive genome-wide genotyping data, longitudinal color fundus photographs, and disease severity assessment over a period of 12 years, providing an unprecedented opportunity to investigate prediction models for AMD progression. In this report, we jointly used genotypes and fundus images to dynamically predict an eye as having progressed to late AMD (e.g., whether the time to progression to late AMD for the eye exceeds 3 years from the current visit) with a modified deep convolutional neural network (CNN). In total, we used 31,262 color fundus images centered on the macula from 1,351 subjects with corresponding genotypes and phenotypes available at baseline and follow-up visits. The first part of this model was derived from a CNN to extract features. Our results showed that the color fundus photos coupled with genotypes could predict late AMD progression with an averaged area under the curve (AUC) value of 0.85 (95%CI: 0.83-0.86). The results using fundus images alone showed an AUC of 0.81 (95%CI: 0.80-0.83). We have validated our results in an independent dataset of 200 Caucasians extracted from UK Biobank and the results showed an AUC of 0.9 (95%CI: 0.85-0.94) for predicting whether the eye progresses to late AMD exceeding the 3 years. We implemented our model in a cloud-based application for individual risk assessment.",Copied,NA,1,0.704138357,keep,1855,0.542310068,7,1,1,0,1,29479,medrxiv,16/09/2019,FALSE,Deep-learning-based Prediction of Late Age-Related Macular Degeneration Progression,2,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,ophthalmology,"Yan, Q.; Weeks, D. E.; Xin, H.; Huang, H.; Swaroop, A.; Chew, E. Y.; Ding, Y.; Chen, W.",8,Qi Yan,University of Pittsburgh,1,PHRASE,University of Pittsburgh,United States,US,10.1038/s42256-020-0154-9,Deep-learning-based prediction of late age-related macular degeneration progression,14/02/2020,Nature Machine Intelligence,Springer Science and Business Media LLC,151,TRUE,green,FALSE
4,10.1101/19006478,"Multifocal breast cancer is generally considered to be where two or more breast tumours are present within the same breast, but are clearly separated with no intervening in situ or invasive disease. It is seen in ~10% of breast cancer cases. This study investigates multifocality prevalence in BRCA1/2 mutant patients via cross-sectional analysis. Data from 211 women with BRCA1/2 mutations (91 BRCA1), (120 BRCA2), with breast cancer were collected including age, tumour focality, size, type, grade, and receptor profile. The prevalence of multifocality within this group was 25%, but within subgroups, prevalence amongst BRCA2 carriers was more than double that of BRCA1 carriers (p=0.001). Women affected by multifocal tumours had proportionately higher oestrogen receptor positivity (p=0.001), lower triple negativity (p=0.004), and were more likely to be younger at diagnosis compared with those with unifocal tumours (p=0.039). Odds of a BRCA2 carrier developing multifocal cancer were almost four-fold higher than a BRCA1 carrier (OR: 3.71, CI: 1.77 to 7.78, p=0.001). BRCA2 carriers show much greater multifocality than those carrying BRCA1. Multifocal tumours are strongly associated with being both BRCA2 mutant and oestrogen receptor positive.",Copied,NA,2,0.514061478,keep,1505,0.512753434,3,3,1,0,1,29472,medrxiv,13/09/2019,FALSE,Multifocal breast cancers are more prevalent in BRCA2 versus BRCA1 mutation carriers,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,surgery,"McCrorie, A. D.; Ashfield, S.; McIlmunn, C.; Morrison, P. J.; Boyd, C.; Savage, K. I.; McIntosh, S. A.",7,Stuart A McIntosh,Queen\'s University Belfast,NA,NA,NA,NA,NA,10.1002/cjp2.155,"Multifocal breast cancers are more prevalent in
            BRCA2
            versus
            BRCA1
            mutation carriers",05/02/2020,The Journal of Pathology: Clinical Research,Wiley,145,TRUE,gold,TRUE
5,10.1101/19006502,"Gambiense human African trypanosomiasis (gHAT) is one of several neglected tropical diseases that is targeted for elimination by the World Health Organization. Recent years have seen a substantial decline in the number of globally reported cases, largely driven by an intensive process of screening and treatment. However, this infection is highly focal, continuing to persist at low prevalence even in small populations. Regional elimination, and ultimately global eradication, rests on understanding the dynamics and persistence of this infection at the local population scale. Here we develop a stochastic model of gHAT dynamics, which is underpinned by screening and reporting data from one of the highest gHAT incidence regions, Kwilu Province, in the Democratic Republic of Congo. We use this model to explore the persistence of gHAT in villages of different population sizes and subject to different patterns of screening. Our models demonstrate that infection is expected to persist for long periods even in relatively small isolated populations. We further use the model to assess the risk of recrudescence following local elimination and consider how failing to detect cases during active screening events informs the probability of elimination. These quantitative results provide insights for public health policy in the region, particularly highlighting the difficulties in achieving and measuring the 2030 elimination goal.",Copied,NA,0,0,keep,0,0,0,0,0,0,0,29477,medrxiv,13/09/2019,FALSE,Village-scale persistence and elimination of gambiense human African trypanosomiasis,1,NA,NA,NA,NA,cc_by,PUBLISHAHEADOFPRINT,epidemiology,"Davis, C. N.; Rock, K. S.; Mwamba Miaka, E.; Keeling, M. J.",4,Matt J Keeling,University of Warwick,1,PHRASE,University of Warwick,United Kingdom,GB,10.1371/journal.pntd.0007838,Village-scale persistence and elimination of gambiense human African trypanosomiasis,28/10/2019,PLOS Neglected Tropical Diseases,Public Library of Science (PLoS),45,TRUE,gold,TRUE
6,10.1101/19006577,"Background: There is a wealth of literature on the observed association between childhood trauma and psychotic illness. However, the relationship between childhood trauma and psychosis is complex and could be explained, in part, by gene-environment correlation. Methods: The association between schizophrenia polygenic scores (PGS) and experiencing childhood trauma was investigated using data from the Avon Longitudinal Study of Parents and Children (ALSPAC) and the Norwegian Mother, Father and Child Cohort Study (MoBa). Schizophrenia PGS were derived in each cohort for children, mothers, and fathers where genetic data were available. Measures of trauma exposure were derived based on data collected throughout childhood and adolescence (0-17 years; ALSPAC) and at age 8 years (MoBa). Results: Within ALSPAC, we found a positive association between schizophrenia PGS and exposure to trauma across childhood and adolescence; effect sizes were consistent for both child or maternal PGS. We found evidence of an association between the schizophrenia PGS and the majority of trauma subtypes investigated, with the exception of bullying. These results were comparable in MoBa. Within ALSPAC, genetic liability to a range of additional psychiatric traits was also associated with a greater trauma exposure. Conclusions: Results from two international birth cohorts indicate that genetic liability for a range of psychiatric traits is associated with experiencing childhood trauma. GWAS of psychiatric phenotypes may also reflect risk factors for these phenotypes. Our findings also suggest that youth at higher genetic risk might require greater resources/support to ensure they grow-up in a healthy environment.",Copied,NA,0,0.015634047,keep,64,0.020266358,0,0,0,0,0,29476,medrxiv,13/09/2019,FALSE,Genetic liability to schizophrenia is associated with exposure to traumatic events in childhood,1,NA,NA,NA,NA,cc_by,PUBLISHAHEADOFPRINT,epidemiology,"Sallis, H. M.; Croft, J.; Havdahl, A.; Jones, H. J.; Dunn, E. C.; Davey Smith, G.; Zammit, S.; Munafo, M. R.",8,Hannah M Sallis,University of Bristol,1,PHRASE,University of Bristol,United Kingdom,GB,10.1017/s0033291720000537,Genetic liability to schizophrenia is associated with exposure to traumatic events in childhood,01/04/2020,Psychological Medicine,Cambridge University Press (CUP),201,TRUE,hybrid,FALSE
7,10.1101/19006635,"Purpose: Spinal muscular atrophy (SMA), caused by loss of the functional SMN1 gene but retention of the paralogous SMN2 gene, is a leading genetic cause of early childhood death. Due to the near identical sequences of SMN1 and its paralog SMN2, analysis of this region by standard NGS-based pipelines has been challenging historically. Preconception population-wide SMA screening of potential parents to quantify the copy number (CN) of SMN1 is recommended by the American College of Medical Genetics. Methods: We developed a novel informatics method that accurately identifies the CN of SMN1 and SMN2 using whole-genome sequencing (WGS) data. This algorithm calculates the CNs of SMN1 and SMN2 using read depth and eight informative reference genome differences between SMN1 and SMN2. Results: We characterized SMN1/2 in a total of 12,747 genomes sequenced to high depths (>30x) across five ethnic populations. Across these samples we identified a total of 251 (1317) samples with whole gene losses (gains) of SMN1 and 6241 (374) samples with losses (gains) of SMN2. We calculated a pan-ethnic carrier frequency of 2%, consistent with previous studies. Additionally, we validated our CN calls and showed that all (48/48) SMN1 and 98% (47/48) of SMN2 CN calls agreed with those measured with digital PCR. Conclusion: This WGS-based SMN copy number caller can be used to identify both carrier and affected status of SMA, enabling SMA testing to be offered as a comprehensive test in neonatal care and also an accurate screening tool for carrier status in large-scale WGS sequencing projects.",Copied,NA,0,0.571783056,keep,982,0.334278625,3,4,2,0,1,29561,medrxiv,02/10/2019,FALSE,Spinal muscular atrophy diagnosis and carrier screening from whole-genome sequencing data,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,genetic and genomic medicine,"Chen, X.; Sanchis-Juan, A.; French, C. E.; Connell, A. J.; Chawla, A.; Halpern, A. L.; Taft, R. J.; NIHR BioResource,  ; Bentley, D. R.; Butchbach, M. E.; Raymond, F. L.; Eberle, M. A.",12,Michael A Eberle,"Illumina, Inc",1,PHRASE,Illumina (United States),United States,US,10.1038/s41436-020-0754-0,Spinal muscular atrophy diagnosis and carrier screening from genome sequencing data,18/02/2020,Genetics in Medicine,Springer Science and Business Media LLC,139,TRUE,hybrid,FALSE
8,10.1101/19006650,"Patients with major depressive disorder (MDD) show heterogeneous treatment response and highly variable clinical trajectories: while some patients experience swift and enduring recovery, others show relapsing-remitting or chronic disease course. Predicting individual clinical trajectories at an early disease stage is a key challenge for psychiatry and might facilitate individually tailored interventions. So far, however, reliable predictors at the single-patient level are absent. Here, we evaluated the utility of a machine learning strategy - generative embedding - which combines an interpretable generative model with a discriminative classifier. Specifically, we used functional magnetic resonance imaging (fMRI) data of emotional face perception in 85 MDD patients from the multi-site longitudinal NEtherlands Study of Depression and Anxiety (NESDA) who had been followed up over two years and classified into three subgroups with distinct clinical trajectories. Combining a generative model of effective (directed) connectivity with support vector machines (SVMs), it was possible to predict whether a given patient will experience chronic depression vs. fast remission with a balanced accuracy of 79%. Gradual improvement vs. fast remission could still be predicted above-chance, but less convincingly, with a balanced accuracy of 61%. Importantly, generative embedding outperformed conventional (descriptive) measures such as functional connectivity or local BOLD activity, which did not predict clinical trajectories with above-chance accuracy. Furthermore, the predictive performance of generative embedding could be assigned to a specific network property: the dynamic modulation of connections by the emotional content of the trial-by-trial stimuli. Our findings suggest that a mechanistically informed generative model of a neuronal circuit underlying emotional face perception may have predictive utility for distinguishing disease courses in MDD patients.",Copied,NA,0,0.448611788,keep,986,0.248416951,0,0,3,0,1,29502,medrxiv,18/09/2019,FALSE,Predicting individual clinical trajectories of depression with generative embedding,1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,psychiatry and clinical psychology,"Fra¨ssle, S.; Marquand, A. F.; Schmaal, L.; Dinga, R.; Veltman, D. J.; van der Wee, N. J. A.; van Tol, M.-J.; Scho¨bi, D.; Penninx, B. W. J. H.; Stephan, K. E.",10,Stefan Frässle,Translational Neuromodeling Unit (TNU),NA,NA,NA,NA,NA,10.1016/j.nicl.2020.102213,Predicting individual clinical trajectories of depression with generative embedding,17/02/2020,NeuroImage: Clinical,Elsevier BV,152,TRUE,gold,TRUE
9,10.1101/19006833,"Background Higher proportions of early onset and estrogen receptor (ER) negative cancers are observed in women of African ancestry than in women of European ancestry. Differences in risk factor distributions and associations by age at diagnosis and ER status may explain this disparity. Methods We analyzed data from 1,126 women (aged 18 to 74 years) with invasive breast cancer and 2,106 population controls recruited from three hospitals in Ghana from 2013 to 2015. Odds ratios (OR) and 95% confidence intervals (CI) were estimated for menstrual and reproductive factors using polytomous logistic regression models adjusted for potential confounders. Results Among controls, medians for age at menarche, parity, age at first birth, and breastfeeding/pregnancy were 15 years, 4 births, 20 years, and 18 months, respectively. For women greater or equal to 50 years, parity and extended breastfeeding were associated with decreased risks: >5 births vs. nulliparous, OR 0.40 (95% CI 0.20 to 0.83) and 0.71 (95% CI 0.51 to 0.98) for greater or equal to 19 vs. <13 breastfeeding months/pregnancy, which did not differ by ER. In contrast, for earlier onset cases (<50 years) parity was associated with increased risk for ER-negative tumors (Pheterogeneity by ER = 0.02), which was offset by extended breastfeeding. Similar associations were observed by intrinsic-like subtypes. Less consistent relationships were observed with ages at menarche and first birth. Conclusion Reproductive risk factor distributions are different from European populations but exhibited etiologic heterogeneity by age at diagnosis and ER status similar to other populations.",Copied,NA,1,0.128888889,keep,407,0.128296296,1,0,0,1,2,29892,medrxiv,27/11/2019,FALSE,Reproductive Factors and Risk of Breast Cancer by Tumor Subtypes among Ghanaian Women: A Population-based Case-control Study,1,NA,NA,NA,NA,cc0,PUBLISHAHEADOFPRINT,epidemiology,"Figueroa, J. D.; Davis Lynn, B.; Edusei, L.; Titiloye, N.; Adjei, E.; Clegg-Lamptey, J. N.; Yarney, J.; Wiafe, B.; Awuah, B.; Duggan, M.; Wiafe, S.; Nyarko, K.; Aitipillah, F.; Ansong, D.; Hewitt, S.; Ahearn, T.; Garcia-Closas, M.; Brinton, L.; The Ghana Breast Health Study,",19,Jonine D Figueroa,University of Edinburgh,1,PHRASE,University of Edinburgh,United Kingdom,GB,10.1002/ijc.32929,Reproductive factors and risk of breast cancer by tumor subtypes among Ghanaian women: A population-based case–control study,18/02/2020,International Journal of Cancer,Wiley,83,TRUE,green,FALSE
10,10.1101/19006957,"Background The English Indices of Multiple Deprivation (IMD) is widely used as a measure of deprivation of geographic areas in analyses of health inequalities between places. However, similarly ranked areas can differ substantially in the underlying subdomains and indicators that are used to calculate the IMD score. These subdomains and indicators contain a richer set of data that might be useful for classifying local authorities. Clustering methods offer a set of techniques to identify groups of areas with similar patterns of deprivation. This could offer insights into areas that face similar challenges. Methods Hierarchical agglomerative (i.e. bottom-up) clustering methods were applied to sub-domain scores for 152 upper-tier local authorities. Recent advances in statistical testing allow clusters to be identified that are unlikely to have arisen from random partitioning of a homogeneous group. The resulting clusters are described in terms of their subdomain scores and basic geographic and demographic characteristics. Results Five statistically significant clusters of local authorities were identified. These clusters represented local authorities that were: (i) Most deprived, predominantly urban; (ii) Least deprived, predominantly rural; (iii) Less deprived, rural; (iv) Deprived, high crime, high barriers to housing; and (v) Deprived, low education, poor employment, poor health. Conclusion Hierarchical clustering methods identify five distinct clusters that do not correspond closely to quintiles of deprivation. These methods can be used to draw on the richer set of information contained in the IMD subdomains and may help to identify places that face similar challenges, and places that appear similar in terms of IMD scores, but that face different challenges.",Copied,NA,0,0.913070475,keep,994,0.292145296,1,0,5,0,1,29506,medrxiv,18/09/2019,FALSE,Using Hierarchical Clustering to Explore Patterns of Deprivation Among English Local Authorities,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,public and global health,"Senior, S. L.",1,Steven L Senior,University of Manchester,1,PHRASE,University of Manchester,United Kingdom,GB,10.1093/pubmed/fdz182,Using hierarchical clustering to explore patterns of deprivation among English local authorities,05/12/2019,Journal of Public Health,Oxford University Press (OUP),78,TRUE,green,FALSE
