doi,author_list,abstract_change,change_outcomes,preprint_main_total,paper_main_total,panel_change,ave_figs_preprint,ave_figs_paper,ave_figs_change,source_data,peer_review,comments_count,twitter,blogs,news,citations,impact,X1,source,posted_date,covid_preprint,title,n_versions,n_words,n_refs,n_figs,n_tables,license,type,category,authors,n_authors,author_corresponding,author_corresponding_institution,institution_match_score,institution_match_type,institution_match_name,institution_match_country_name,institution_match_country_code,published_doi.x,published_title,published_date,published_journal,published_publisher,delay_in_days,published_article_is_oa,published_article_oa_status,published_journal_is_oa
10.1101/2019.12.18.881391,0,0,0,19,19,0,2.714285714,2.714285714,2.86e-10,-1,0,0,4,0,0,1,4.368,28450,biorxiv,19/12/2019,FALSE,Ca2+ ions promote fusion of Middle East Respiratory Syndrome coronavirus with host cells and increase infectivity,1,7378,47,7,0,cc_by_nc_nd,new results,microbiology,"Straus, M. R.; Tang, T.; Lai, A. L.; Flegel, A.; Bidon, M.; Freed, J. H.; Daniel, S.; Whittaker, G. R.",8,Gary R. Whittaker,Cornell University,1,PHRASE,Cornell University,United States,US,10.1128/jvi.00426-20,Ca2+ Ions Promote Fusion of Middle East Respiratory Syndrome Coronavirus with Host Cells and Increase Infectivity,16/04/2020,Journal of Virology,American Society for Microbiology,119,TRUE,green,FALSE
10.1101/2020.01.21.914929,1,0,2,19,28,9,3.166666667,4.666666667,1.5,-1,0,0,9,0,0,0,4.255,31856,biorxiv,23/01/2020,TRUE,Novel ionophores active against La Crosse virus identified through rapid antiviral screening,1,3815,47,6,1,cc_by_nc_nd,new results,microbiology,"Sandler, Z. J.; Vu, M. N.; Menachery, V. D.; Mounce, B. C.",4,Bryan C. Mounce,Loyola University,NA,NA,NA,NA,NA,10.1128/aac.00086-20,Novel Ionophores Active against La Crosse Virus Identified through Rapid Antiviral Screening,09/04/2020,Antimicrobial Agents and Chemotherapy,American Society for Microbiology,77,TRUE,green,FALSE
10.1101/2020.01.22.914952,0,0,1,8,8,0,2,2.666666667,0.666666667,0,0,25,4262,14,85,93,41.577,31822,biorxiv,23/01/2020,TRUE,Discovery of a novel coronavirus associated with the recent pneumonia outbreak in humans and its potential bat origin,2,2951,14,4,0,cc_no,new results,microbiology,"Shi, Z.-L.; Zhou, P.; Yang, X.-L.; Wang, X.-G.; Hu, B.; Zhang, L.; Zhang, W.; Si, H.-R.; Zhu, Y.; Li, B.; Huang, C.-L.; Chen, H.-D.; Chen, J.; Luo, Y.; Guo, H.; Jiang, R.-D.; Liu, M.-Q.; Chen, Y.; Shen, X.-R.; Wang, X.; Zheng, X.-S.; Zhao, K.; Chen, Q.-J.; Deng, F.; Liu, L.-L.; Yan, B.; Zhan, F.-X.; Wang, Y.-Y.; Xiao, G.",29,Zheng-Li Shi,"CAS Key Laboratory of Special Pathogens, Wuhan Institute of Virology, Center for Biosafety Mega-Science, Chinese Academy of Sciences",1,PHRASE,Wuhan Institute of Virology,China,CN,10.1038/s41586-020-2012-7,A pneumonia outbreak associated with a new coronavirus of probable bat origin,03/02/2020,Nature,Springer Science and Business Media LLC,11,TRUE,hybrid,FALSE
10.1101/2020.01.22.915660,1,0,0,20,20,0,4,4,0,1,0,1,979,4,4,34,14.174,31747,biorxiv,22/01/2020,TRUE,"Functional assessment of cell entry and receptor usage for lineage B ß-coronaviruses, including 2019-nCoV",1,3727,35,5,0,cc_no,new results,microbiology,"Letko, M. C.; Munster, V.",2,Michael C Letko,NIH/NIAID,NA,NA,NA,NA,NA,10.1038/s41564-020-0688-y,Functional assessment of cell entry and receptor usage for SARS-CoV-2 and other lineage B betacoronaviruses,24/02/2020,Nature Microbiology,Springer Science and Business Media LLC,33,TRUE,bronze,FALSE
10.1101/2020.01.23.916395,4,1,0,9,11,2,8,11,3,-1,0,1,1574,4,33,16,3.202,31925,biorxiv,24/01/2020,TRUE,"Preliminary estimation of the basic reproduction number of novel coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak",2,1257,17,1,1,cc_by_nc_nd,new results,ecology,"Zhao, S.; Ran, J.; MUSA, S. S.; Yang, G.; Lou, Y.; Gao, D.; Yang, L.; He, D.",8,Daihai He,Hong Kong Polytechnic University,1,PHRASE,Hong Kong Polytechnic University,China,CN,10.1016/j.ijid.2020.01.050,"Preliminary estimation of the basic reproduction number of novel coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak",30/01/2020,International Journal of Infectious Diseases,Elsevier BV,6,TRUE,gold,TRUE
10.1101/2020.01.24.915157,0,0,0,3,3,0,1,1,0,-1,0,0,71,1,2,9,1.988,31924,biorxiv,24/01/2020,TRUE,The 2019-new Coronavirus epidemic: evidence for virus evolution,1,1671,14,3,0,cc_no,new results,bioinformatics,"Benvenuto, D.; Giovanetti, M.; Ciccozzi, A.; Spoto, S.; Angeletti, S.; Ciccozzi, M.",6,Silvia Angeletti,"Unit of Medical Statistics and Molecular Epidemiology, University Campus Bio-Medico of Rome, Italy.",NA,NA,NA,NA,NA,10.1002/jmv.25688,The 2019-new coronavirus epidemic: Evidence for virus evolution,29/01/2020,Journal of Medical Virology,Wiley,5,TRUE,bronze,FALSE
10.1101/2020.01.24.919159,0,1,0,7,7,0,3.5,3.5,0,0,0,0,53,1,7,4,5.583,32059,biorxiv,25/01/2020,TRUE,2019-20 Wuhan coronavirus outbreak: Intense surveillance is vital for preventing sustained transmission in new locations,1,1915,21,2,0,cc_by_nd,new results,ecology,"Thompson, R. N.",1,Robin Nicholas Thompson,University of Oxford,1,PHRASE,University of Oxford,United Kingdom,GB,10.3390/jcm9020498,"Novel Coronavirus Outbreak in Wuhan, China, 2020: Intense Surveillance Is Vital for Preventing Sustained Transmission in New Locations",11/02/2020,Journal of Clinical Medicine,MDPI AG,17,TRUE,gold,TRUE
10.1101/2020.01.26.20018754,0,0,0,6,6,0,2,3,1,0,0,1,179,0,1,12,5.583,62961,medrxiv,28/01/2020,TRUE,Epidemiological characteristics of novel coronavirus infection: A statistical analysis of publicly available case data,2,NA,NA,NA,NA,cc_by,PUBLISHAHEADOFPRINT,infectious diseases,"Linton, N. M.; Kobayashi, T.; Yang, Y.; Hayashi, K.; Akhmetzhanov, A. R.; Jung, S.-m.; Yuan, B.; Kinoshita, R.; Nishiura, H.",9,Hiroshi Nishiura,Hokkaido University,1,PHRASE,Hokkaido University,Japan,JP,10.3390/jcm9020538,Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data,25/02/2020,Journal of Clinical Medicine,MDPI AG,28,TRUE,gold,TRUE
10.1101/2020.01.26.920249,1,0,0,4,4,0,2,2,0,-2,0,12,1027,1,12,2,2.545,32186,biorxiv,27/01/2020,TRUE,Full-genome evolutionary analysis of the novel corona virus (2019-nCoV) rejects the hypothesis of emergence as a result of a recent recombination event,1,1356,31,2,0,cc_no,new results,microbiology,"Paraskevis, D.; Kostaki, E. G.; Magiorkinis, G.; Panayiotakopoulos, G.; Tsiodras, S.",5,Dimitrios Paraskevis,"Department of Hygiene Epidemiology and Medical Statistics, Medical School, National and Kapodistrian University of Athens, Athens, Greece",NA,NA,NA,NA,NA,10.1016/j.meegid.2020.104212,Full-genome evolutionary analysis of the novel corona virus (2019-nCoV) rejects the hypothesis of emergence as a result of a recent recombination event,29/01/2020,"Infection, Genetics and Evolution",Elsevier BV,2,TRUE,green,FALSE
10.1101/2020.01.27.20018986,0,0,0,6,6,0,1,2,1,0,0,1,330,1,5,12,7.127,62975,medrxiv,28/01/2020,TRUE,"The incubation period of 2019-nCoV infections among travellers from Wuhan, China",2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Backer, J. A.; Klinkenberg, D.; Wallinga, J.",3,Jantien A. Backer,National Institute for Public Health and the Environment,1,PHRASE,National Institute for Public Health and the Environment,Netherlands,NL,10.2807/1560-7917.es.2020.25.5.2000062,"Incubation period of 2019 novel coronavirus (2019-nCoV) infections among travellers from Wuhan, China, 20–28 January 2020",06/02/2020,Eurosurveillance,European Centre for Disease Control and Prevention (ECDC),9,TRUE,gold,TRUE
10.1101/2020.01.28.923011,0,0,0,7,7,0,7,7,0,-1,0,4,148,2,11,5,6.032,32351,biorxiv,28/01/2020,TRUE,Potent binding of 2019 novel coronavirus spike protein by a SARS coronavirus-specific human monoclonal antibody,1,1497,15,1,0,cc_no,new results,microbiology,"Tian, X.; Li, C.; Huang, A.; Xia, S.; Lu, S.; Shi, Z.; Lu, L.; Jiang, S.; Yang, Z.; Wu, Y.; Ying, T.",11,Tianlei Ying,Fudan University,1,PHRASE,Fudan University,China,CN,10.1080/22221751.2020.1729069,Potent binding of 2019 novel coronavirus spike protein by a SARS coronavirus-specific human monoclonal antibody,17/02/2020,Emerging Microbes & Infections,Informa UK Limited,20,TRUE,gold,TRUE
10.1101/2020.01.31.20019901,0,1,0,9,10,1,3,3.333333333,0.333333333,0,0,1,145,3,6,11,25.148,63005,medrxiv,02/02/2020,TRUE,Early dynamics of transmission and control of 2019-nCoV: a mathematical modelling study,2,NA,NA,NA,NA,cc_by,PUBLISHAHEADOFPRINT,infectious diseases,"Kucharski, A. J.; Russell, T. W.; Diamond, C.; CMMID nCoV working group,  ; Funk, S.; Eggo, R. M.",6,Adam J Kucharski,London School of Hygiene & Tropical Medicine,NA,NA,NA,NA,NA,10.1016/s1473-3099(20)30144-4,Early dynamics of transmission and control of COVID-19: a mathematical modelling study,12/03/2020,The Lancet Infectious Diseases,Elsevier BV,39,TRUE,hybrid,FALSE
10.1101/2020.01.31.928796,0,0,1,1,3,2,1,1.5,0.5,0,0,0,37,0,0,3,5.481,32777,biorxiv,02/02/2020,TRUE,Genome Detective Coronavirus Typing Tool for rapid identification and characterization of novel coronavirus genomes,1,1995,17,1,0,cc_by_nd,new results,bioinformatics,"Cleemput, S.; Dumon, W.; Fonseca, V.; Abdool Karim, W.; Giovanetti, M.; Alcantara, L. C. J.; Deforche, K.; de Oliveira, T.",8,Tulio de Oliveira,"KwaZulu-Natal Research Innovation and Sequencing Platform (KRISP), University of KwaZulu-Natal",1,PHRASE,University of KwaZulu-Natal,South Africa,ZA,10.1093/bioinformatics/btaa145,Genome Detective Coronavirus Typing Tool for rapid identification and characterization of novel coronavirus genomes,25/02/2020,Bioinformatics,Oxford University Press (OUP),23,TRUE,hybrid,FALSE
10.1101/2020.02.02.931162,0,0,0,8,10,2,1.75,2.5,0.75,0,0,1,20,0,0,8,1.988,33012,biorxiv,04/02/2020,TRUE,Phylogenomic analysis of the 2019-nCoV coronavirus,2,1844,17,4,1,cc_by_nc,new results,bioinformatics,"Ceraolo, C.; Giorgi, F. M.",2,Federico M Giorgi,University of Bologna,1,PHRASE,University of Bologna,Italy,IT,10.1002/jmv.25700,Genomic variance of the 2019-nCoV coronavirus,06/02/2020,Journal of Medical Virology,Wiley,2,TRUE,bronze,FALSE
10.1101/2020.02.03.20020248,0,0,0,1,1,0,1,1,0,-2,0,0,57,3,33,5,3.202,63110,medrxiv,11/02/2020,TRUE,Estimation of the asymptomatic ratio of novel coronavirus (2019-nCoV) infections among passengers on evacuation flights,2,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,epidemiology,"Nishiura, H.; Kobayashi, T.; Miyama, T.; Suzuki, A.; Jung, S.; Hayashi, K.; Kinoshita, R.; Yang, Y.; Yuan, B.; Akhmetzhanov, A. R.; Linton, N. M.",11,Hiroshi Nishiura,Hokkaido University,1,PHRASE,Hokkaido University,Japan,JP,10.1016/j.ijid.2020.03.020,Estimation of the asymptomatic ratio of novel coronavirus infections (COVID-19),14/03/2020,International Journal of Infectious Diseases,Elsevier BV,32,TRUE,gold,TRUE
10.1101/2020.02.03.933226,0,0,1,10,10,0,1.666666667,5,3.333333333,0,0,1,63,0,0,11,53.254,33065,biorxiv,04/02/2020,TRUE,Preliminary identification of potential vaccine targets for 2019-nCoV based on SARS-CoV immunological studies,4,3308,34,5,7,cc_by_nc,new results,bioinformatics,"Ahmed, S. F.; Quadeer, A. A.; McKay, M. R.",3,Matthew R. McKay,The Hong Kong University of Science and Technology,1,PHRASE,Hong Kong University of Science and Technology,China,CN,10.3390/v12030254,Preliminary Identification of Potential Vaccine Targets for the COVID-19 Coronavirus (SARS-CoV-2) Based on SARS-CoV Immunological Studies,26/02/2020,Viruses,MDPI AG,22,TRUE,gold,TRUE
10.1101/2020.02.04.20020503,0,0,0,7,7,0,1,1.4,0.4,-1,0,0,20,0,0,1,5.583,63055,medrxiv,05/02/2020,TRUE,Risk assessment of novel coronavirus 2019-nCoVoutbreaks outside China,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,epidemiology,"Boldog, P.; Tekeli, T.; Vizi, Z.; Denes, A.; Bartha, F.; Rost, G.",6,Attila Denes,University of Szeged,1,PHRASE,University of Szeged,Hungary,HU,10.3390/jcm9020571,Risk Assessment of Novel Coronavirus COVID-19 Outbreaks Outside China,25/02/2020,Journal of Clinical Medicine,MDPI AG,20,TRUE,gold,TRUE
10.1101/2020.02.06.20020974,1,1,1,9,4,-5,3,4,1,-1,0,13,3161,9,86,126,79.258,63093,medrxiv,09/02/2020,TRUE,Clinical characteristics of 2019 novel coronavirus infection in China,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,respiratory medicine,"Guan, W.-j.; Ni, Z.-y.; Hu, Y.; Liang, W.-h.; Ou, C.-q.; He, J.-x.; Liu, L.; Shan, H.; Lei, C.-l.; Hui, D. S.; Du, B.; Li, L.-j.; Zeng, G.; Yuen, K.-Y.; Chen, R.-c.; Tang, C.-l.; Wang, T.; Chen, P.-y.; Xiang, J.; Li, S.-y.; Wang, J.-l.; Liang, Z.-j.; Peng, Y.-x.; Wei, L.; Liu, Y.; Hu, Y.-h.; Peng, P.; Wang, J.-m.; Liu, J.-y.; Chen, Z.; Li, G.; Zheng, Z.-j.; Qiu, S.-q.; Luo, J.; Ye, C.-j.; Zhu, S.-y.; Zhong, N.-s.",37,Nan-shan Zhong,Guangzhou Institute of Respiratory Health,NA,NA,NA,NA,NA,10.1056/nejmoa2002032,Clinical Characteristics of Coronavirus Disease 2019 in China,28/02/2020,New England Journal of Medicine,Massachusetts Medical Society,19,TRUE,bronze,FALSE
10.1101/2020.02.11.20020735,0,2,2,4,5,1,1,2.5,1.5,-1,0,1,17,0,0,0,5.583,63133,medrxiv,12/02/2020,TRUE,Facemask shortage and the novel coronavirus (2019-nCoV) outbreak: Reflection on public health measures,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,public and global health,"Wu, H.; Huang, J.; Zhang, C. J.; He, Z.; Ming, W.-k.",5,Wai-kit Ming,"Department of Public Health and Preventive Medicine, School of Medicine, Jinan University, Guangzhou, China",1,PHRASE,Jinan University,China,CN,10.1016/j.eclinm.2020.100329,Facemask shortage and the novel coronavirus disease (COVID-19) outbreak: Reflections on public health measures,03/04/2020,EClinicalMedicine,Elsevier BV,51,TRUE,gold,TRUE
10.1101/2020.02.11.20022186,3,0,0,11,11,0,1,1.1,0.1,0,1,0,129,1,1,13,2.766,63169,medrxiv,13/02/2020,TRUE,"Data-Based Analysis, Modelling and Forecasting of the novel Coronavirus (2019-nCoV) outbreak",5,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Anastassopoulou, C.; Russo, L.; Tsakris, A.; Siettos, C.",4,Constantinos Siettos,University of Naples Federico II,1,PHRASE,University of Naples Federico II,Italy,IT,10.1371/journal.pone.0230405,"Data-based analysis, modelling and forecasting of the COVID-19 outbreak",31/03/2020,PLOS ONE,Public Library of Science (PLoS),47,TRUE,gold,TRUE
10.1101/2020.02.11.944462,0,0,0,9,10,1,2.25,2.5,0.25,0,0,1,904,1,3,32,41.058,34152,biorxiv,15/02/2020,TRUE,Cryo-EM Structure of the 2019-nCoV Spike in the Prefusion Conformation,1,2470,38,12,1,cc_by,new results,microbiology,"Wrapp, D.; Wang, N.; Corbett, K. S.; Goldsmith, J. A.; Hsieh, C.-L.; Abiona, O.; Graham, B. S.; McLellan, J. S.",8,Jason S McLellan,The University of Texas at Austin,1,PHRASE,The University of Texas at Austin,United States,US,10.1126/science.abb2507,Cryo-EM structure of the 2019-nCoV spike in the prefusion conformation,19/02/2020,Science,American Association for the Advancement of Science (AAAS),4,TRUE,hybrid,FALSE
10.1101/2020.02.13.20022806,0,0,0,7,7,0,1.4,1.4,0,0,0,0,258,7,14,2,1.928,63186,medrxiv,17/02/2020,TRUE,Impact of seasonal forcing on a potential SARS-CoV-2 pandemic,2,NA,NA,NA,NA,cc_by_nc,PUBLISHAHEADOFPRINT,epidemiology,"Neher, R. A.; Dyrdak, R.; Druelle, V.; Hodcroft, E. B.; Albert, J.",5,Richard A Neher,University of Basel,1,PHRASE,University of Basel,Switzerland,CH,10.4414/smw.2020.20224,Potential impact of seasonal forcing on a SARS-CoV-2 pandemic,16/03/2020,Swiss Medical Weekly,"EMH Swiss Medical Publishers, Ltd.",28,TRUE,gold,TRUE
10.1101/2020.02.13.945485,0,0,0,6,6,0,3,2,-1,0,0,0,230,2,8,40,41.577,34365,biorxiv,18/02/2020,TRUE,Identification of 2019-nCoV related coronaviruses in Malayan pangolins in southern China,1,2427,15,3,5,cc_no,new results,microbiology,"Lam, T. T.-Y.; Shum, M. H.-H.; Zhu, H.-C.; Tong, Y.-G.; Ni, X.-B.; Liao, Y.-S.; Wei, W.; Cheung, W. Y.-M.; Li, W.-J.; Li, L.-F.; Leung, G. M.; Holmes, E. C.; Hu, Y.-L.; Guan, Y.",14,Yi Guan,"The University of Hong Kong, Shantou University",1,PHRASE,Shantou University,China,CN,10.1038/s41586-020-2169-0,Identifying SARS-CoV-2-related coronaviruses in Malayan pangolins,26/03/2020,Nature,Springer Science and Business Media LLC,37,TRUE,bronze,FALSE
10.1101/2020.02.14.20022897,0,0,0,4,4,0,1,1,0,NA,0,0,7,0,1,1,5.583,63195,medrxiv,17/02/2020,TRUE,Assessing the impact of reduced travel on exportation dynamics of novel coronavirus infection (COVID-19),1,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,epidemiology,"Anzai, A.; Kobayashi, T.; Linton, N. M.; Kinoshita, R.; Hayashi, K.; Suzuki, A.; Yang, Y.; Jung, S.; Miyama, T.; Akhmetzhanov, A. R.; Nishiura, H.",11,Hiroshi Nishiura,Hokkaido University,1,PHRASE,Hokkaido University,Japan,JP,10.3390/jcm9020601,Assessing the Impact of Reduced Travel on Exportation Dynamics of Novel Coronavirus Infection (COVID-19),25/02/2020,Journal of Clinical Medicine,MDPI AG,8,TRUE,gold,TRUE
10.1101/2020.02.16.20023564,0,-1,3,17,7,-10,4,7,3,-2,0,1,9,0,0,0,4.603,63214,medrxiv,18/02/2020,TRUE,Simulating and Forecasting the Cumulative Confirmed Cases of SARS-CoV-2 in China by Boltzmann Function-based Regression Analyses,2,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Fu, X.; Ying, Q.; Zeng, T.; Long, T.; Wang, Y.",5,Xinmiao Fu,Fujian Normal University,1,PHRASE,Fujian Normal University,China,CN,10.1016/j.jinf.2020.02.019,Simulating and forecasting the cumulative confirmed cases of SARS-CoV-2 in China by Boltzmann function-based regression analyses,26/02/2020,Journal of Infection,Elsevier BV,8,TRUE,bronze,FALSE
10.1101/2020.02.16.20023671,1,0,0,19,19,0,4.25,4.75,0.5,-1,0,1,11,0,1,8,6.183,63215,medrxiv,18/02/2020,TRUE,Longitudinal characteristics of lymphocyte responses and cytokine profiles in the peripheral blood of SARS-CoV-2 infected patients,2,NA,NA,NA,NA,cc_no,PUBLISHAHEADOFPRINT,infectious diseases,"Liu, J.; Li, S.; Liu, J.; Liang, B.; Wang, X.; Wang, H.; Li, W.; Tong, Q.; Yi, J.; Zhao, L.; Xiong, L.; Guo, C.; Tian, J.; Luo, J.; Yao, J.; Pang, R.; Shen, H.; Peng, C.; Liu, T.; Zhang, Q.; Wu, J.; Xu, L.; Lu, S.; Wang, B.; Weng, Z.; Han, C.; Zhu, H.; Zhou, R.; Zhou, H.; Chen, X.; Ye, P.; Zhu, B.; He, S.; He, Y.; Jie, S.; Wei, P.; Zhang, J.; Lu, Y.; Wang, W.; Zhang, L.; Li, L.; Zhou, F.; Wang, J.; Dittmer, U.; Lu, M.; Hu, Y.; Yang, D.; Zheng, X.",48,Xin Zheng,Wuhan Union Hospital,1,PHRASE,Wuhan Union Hospital,China,CN,10.1016/j.ebiom.2020.102763,Longitudinal characteristics of lymphocyte responses and cytokine profiles in the peripheral blood of SARS-CoV-2 infected patients,18/04/2020,EBioMedicine,Elsevier BV,60,TRUE,gold,TRUE
10.1101/2020.02.16.951913,0,0,0,4,4,0,1.333333333,1.333333333,3.33e-10,1,0,0,17,0,0,6,2.559,34722,biorxiv,21/02/2020,TRUE,Single cell RNA sequencing of 13 human tissues identify cell types and receptors of human coronaviruses,1,3546,40,3,0,cc_by_nc_nd,new results,immunology,"Qi, F.; Qian, S.; Zhang, S.; Zhang, Z.",4,Zheng Zhang,Shenzhen 3rd People's Hospital,NA,NA,NA,NA,NA,10.1016/j.bbrc.2020.03.044,Single cell RNA sequencing of 13 human tissues identify cell types and receptors of human coronaviruses,19/03/2020,Biochemical and Biophysical Research Communications,Elsevier BV,27,TRUE,hybrid,FALSE
10.1101/2020.02.17.20023721,2,2,0,2,1,-1,1,1,0,NA,0,2,247,0,0,3,20.773,63234,medrxiv,20/02/2020,TRUE,Evidence for gastrointestinal infection of SARS-CoV-2,1,NA,NA,NA,NA,cc_by_nc_nd,PUBLISHAHEADOFPRINT,infectious diseases,"Xiao, F.; Tang, M.; Zheng, X.; Li, C.; He, J.; Hong, Z.; Huang, S.; Zhang, Z.; Lin, X.; Fang, Z.; Lai, R.; Chen, S.; Liu, J.; Huang, J.; Xia, J.; Li, Z.; Jiang, G.; Liu, Y.; Li, X.; Shan, H.",20,Hong Shan,"the Fifth Affiliated Hospital, Sun Yat-sen University",NA,NA,NA,NA,NA,10.1053/j.gastro.2020.02.055,Evidence for Gastrointestinal Infection of SARS-CoV-2,03/03/2020,Gastroenterology,Elsevier BV,12,TRUE,bronze,FALSE
