"","page_id","doi","covid_preprint","annotator","section","label","label+modifier","label_modifier","score","score+modifier","score_modifier"
"1",1,"10.1101/19005710",FALSE,"Jessica  Polka","context","nounchange","nounchange",NA,1,"1-","-"
"2",1,"10.1101/19005710",FALSE,"jonathon coates","context","effect","effect-","-",1,"1-","-"
"3",1,"10.1101/19005710",FALSE,"Jessica  Polka","conclusions","stat","stat-","-",1,"1-","-"
"4",2,"10.1101/19006031",FALSE,"Jessica  Polka","context","added","added",NA,1,"1-","-"
"5",2,"10.1101/19006031",FALSE,"jonathon coates","results","removed","removed",NA,1,"1-","-"
"6",2,"10.1101/19006031",FALSE,"Mate  Palfy","results","added","added",NA,1,"1+","+"
"7",2,"10.1101/19006031",FALSE,"jonathon coates","results","stat","stat-","-",1,"1-","-"
"8",2,"10.1101/19006031",FALSE,"Mate  Palfy","results","removed","removed",NA,1,"1-","-"
"9",2,"10.1101/19006031",FALSE,"Jessica  Polka","results","nounchange","nounchange",NA,1,"1-","-"
"10",2,"10.1101/19006031",FALSE,"jonathon coates","results","stat","stat+","+",1,"1+","+"
"11",2,"10.1101/19006031",FALSE,"Jessica  Polka","results","stat","stat+","+",1,"1+","+"
"12",2,"10.1101/19006031",FALSE,"Mate  Palfy","results","removed","removed",NA,1,"1-","-"
"13",2,"10.1101/19006031",FALSE,"Mate  Palfy","conclusions","stat","stat+","+",1,"1+","+"
"14",2,"10.1101/19006031",FALSE,"Jessica  Polka","conclusions","effect","effect-","-",1,"1-","-"
"15",2,"10.1101/19006031",FALSE,"Jessica  Polka","conclusions","effect","effect+","+",1,"1+","+"
"16",3,"10.1101/19006171",FALSE,"Jessica  Polka","context","added","added",NA,1,"1",NA
"17",3,"10.1101/19006171",FALSE,"Jessica  Polka","context","nounchange","nounchange",NA,1,"1",NA
"18",3,"10.1101/19006171",FALSE,"Mate  Palfy","context","removed","removed",NA,1,"1",NA
"19",3,"10.1101/19006171",FALSE,"jonathon coates","context","removed","removed",NA,1,"1",NA
"20",3,"10.1101/19006171",FALSE,"Jessica  Polka","conclusions","stat","stat-","-",1,"1-","-"
"21",3,"10.1101/19006171",FALSE,"Jessica  Polka","context","removed","removed",NA,1,"1",NA
"22",3,"10.1101/19006171",FALSE,"jonathon coates","context","added","added",NA,1,"1+","+"
"23",3,"10.1101/19006171",FALSE,"Jessica  Polka","context","added","added",NA,1,"1",NA
"24",3,"10.1101/19006171",FALSE,"jonathon coates","results","removed","removed",NA,1,"1",NA
"25",4,"10.1101/19006478",FALSE,"Dey   Gautam","context","added","added",NA,1,"1+","+"
"26",4,"10.1101/19006478",FALSE,"Mate  Palfy","context","removed","removed",NA,1,"1",NA
"27",4,"10.1101/19006478",FALSE,"jonathon coates","results","removed","removed",NA,1,"1-","-"
"28",4,"10.1101/19006478",FALSE,"Dey   Gautam","context","added","added",NA,1,"1+","+"
"29",4,"10.1101/19006478",FALSE,"jonathon coates","results","added","added",NA,1,"1",NA
"30",4,"10.1101/19006478",FALSE,"jonathon coates","results","stat","stat+","+",1,"1",NA
"31",4,"10.1101/19006478",FALSE,"Dey   Gautam","conclusions","added","added",NA,1,"1+","+"
"32",7,"10.1101/19006635",FALSE,"Jessica  Polka","context","removed","removed",NA,1,"1",NA
"33",7,"10.1101/19006635",FALSE,"Jessica  Polka","context","removed","removed",NA,1,"1+","+"
"34",7,"10.1101/19006635",FALSE,"Jessica  Polka","context","nounchange","nounchange",NA,1,"1",NA
"35",7,"10.1101/19006635",FALSE,"Jessica  Polka","context","stat","stat-","-",1,"1-","-"
"36",7,"10.1101/19006635",FALSE,"Jessica  Polka","context","removed","removed",NA,1,"1-","-"
"37",7,"10.1101/19006635",FALSE,"Jessica  Polka","results","stat","stat+","+",1,"1+","+"
"38",7,"10.1101/19006635",FALSE,"Jessica  Polka","results","stat","stat+","+",1,"1+","+"
"39",7,"10.1101/19006635",FALSE,"Jessica  Polka","context","removed","removed",NA,1,"1",NA
"40",7,"10.1101/19006635",FALSE,"jonathon coates","results","stat","stat+","+",1,"1+","+"
"41",8,"10.1101/19006650",FALSE,"jonathon coates","results","effect","effect-","-",1,"1-","-"
"42",8,"10.1101/19006650",FALSE,"Jessica  Polka","conclusions","stat","stat-","-",1,"1-","-"
"43",8,"10.1101/19006650",FALSE,"Jessica  Polka","conclusions","stat","stat-","-",1,"1-","-"
"44",9,"10.1101/19006833",FALSE,"Jessica  Polka","context","nounchange","nounchange",NA,1,"1",NA
"45",9,"10.1101/19006833",FALSE,"Dey   Gautam","conclusions","added","added",NA,2,"2",NA
"46",10,"10.1101/19006957",FALSE,"Dey   Gautam","context","nounchange","nounchange",NA,1,"1",NA
"47",10,"10.1101/19006957",FALSE,"Jessica  Polka","conclusions","removed","removed",NA,1,"1-","-"
"48",10,"10.1101/19006957",FALSE,"Jessica  Polka","results","removed","removed",NA,1,"1-","-"
"49",10,"10.1101/19006957",FALSE,"jonathon coates","results","effect","effect-","-",1,"1-","-"
"50",10,"10.1101/19006957",FALSE,"Jessica  Polka","results","added","added",NA,1,"1-","-"
"51",10,"10.1101/19006957",FALSE,"Jessica  Polka","conclusions","removed","removed",NA,1,"1-","-"
"52",11,"10.1101/19007013",FALSE,"Jessica  Polka","context","removed","removed",NA,1,"1",NA
"53",11,"10.1101/19007013",FALSE,"Jessica  Polka","context","stat","stat-","-",1,"1-","-"
"54",11,"10.1101/19007013",FALSE,"Dey   Gautam","context","removed","removed",NA,1,"1",NA
"55",11,"10.1101/19007013",FALSE,"Mate  Palfy","context","removed","removed",NA,1,"1-","-"
"56",11,"10.1101/19007013",FALSE,"Mate  Palfy","context","removed","removed",NA,1,"1-","-"
"57",11,"10.1101/19007013",FALSE,"Jessica  Polka","results","added","added",NA,1,"1+","+"
"58",11,"10.1101/19007013",FALSE,"Mate  Palfy","context","removed","removed",NA,1,"1-","-"
"59",11,"10.1101/19007013",FALSE,"Mate  Palfy","context","removed","removed",NA,1,"1",NA
"60",11,"10.1101/19007013",FALSE,"Mate  Palfy","context","removed","removed",NA,1,"1",NA
"61",11,"10.1101/19007013",FALSE,"Mate  Palfy","results","stat","stat",NA,1,"1+","+"
"62",11,"10.1101/19007013",FALSE,"jonathon coates","conclusions","added","added",NA,1,"1+","+"
"63",11,"10.1101/19007013",FALSE,"Jessica  Polka","conclusions","stat","stat-","-",1,"1-","-"
"64",11,"10.1101/19007013",FALSE,"Jessica  Polka","conclusions","removed","removed",NA,1,"1+","+"
"65",12,"10.1101/19007021",FALSE,"Jessica  Polka","context","removed","removed",NA,1,"1-","-"
"66",12,"10.1101/19007021",FALSE,"Mate  Palfy","context","nounchange","nounchange",NA,1,"1+","+"
"67",12,"10.1101/19007021",FALSE,"Mate  Palfy","results","stat","stat-","-",1,"1-","-"
"68",12,"10.1101/19007021",FALSE,"Jessica  Polka","conclusions","added","added",NA,1,"1+","+"
"69",12,"10.1101/19007021",FALSE,"Mate  Palfy","conclusions","added","added",NA,1,"1+","+"
"70",12,"10.1101/19007021",FALSE,"Mate  Palfy","conclusions","added","added",NA,1,"1-","-"
"71",13,"10.1101/19007161",FALSE,"Jessica  Polka","results","removed","removed",NA,1,"1-","-"
"72",13,"10.1101/19007161",FALSE,"Jessica  Polka","results","stat","stat-","-",1,"1-","-"
"73",13,"10.1101/19007161",FALSE,"Jessica  Polka","context","added","added",NA,1,"1",NA
"74",13,"10.1101/19007161",FALSE,"Jessica  Polka","context","added","added",NA,1,"1",NA
"75",13,"10.1101/19007161",FALSE,"Mate  Palfy","context","removed","removed",NA,1,"1",NA
"76",13,"10.1101/19007161",FALSE,"Mate  Palfy","context","removed","removed",NA,1,"1",NA
"77",13,"10.1101/19007161",FALSE,"Mate  Palfy","results","added","added",NA,1,"1-","-"
"78",13,"10.1101/19007161",FALSE,"Dey   Gautam","conclusions","added","added",NA,1,"1+","+"
"79",13,"10.1101/19007161",FALSE,"Jessica  Polka","results","added","added",NA,1,"1+","+"
"80",13,"10.1101/19007161",FALSE,"Jessica  Polka","results","removed","removed",NA,1,"1-","-"
"81",14,"10.1101/19007401",FALSE,"Jessica  Polka","context","effect","effect-","-",1,"1",NA
"82",14,"10.1101/19007401",FALSE,"Jessica  Polka","context","stat","stat-","-",1,"1",NA
"83",14,"10.1101/19007401",FALSE,"Jessica  Polka","context","nounchange","nounchange",NA,1,"1",NA
"84",14,"10.1101/19007401",FALSE,"Jessica  Polka","results","nounchange","nounchange",NA,1,"1+","+"
"85",15,"10.1101/19007450",FALSE,"Mate  Palfy","results","stat","stat",NA,1,"1-","-"
